sbj	rsp	eye	sta	rt
s2	1	EO	old	1.464500e+03
s2	0	EO	old	2.900300e+03
s2	1	EO	old	1.330800e+03
s2	0	EO	new	1.648600e+03
s2	1	EO	old	9.877000e+02
s2	1	EO	old	1.621100e+03
s2	1	EO	old	1.544600e+03
s2	0	EO	old	1.585500e+03
s2	0	EO	old	2.316400e+03
s2	1	EO	new	1.567500e+03
s2	0	EO	new	2.103400e+03
s2	1	EO	old	1.403800e+03
s2	1	EO	old	2.140500e+03
s2	1	EO	old	9.884000e+02
s2	0	EO	old	1.247800e+03
s2	1	EO	old	1.142500e+03
s2	0	EO	old	1.381400e+03
s2	1	EO	old	995
s2	0	EO	new	1.210800e+03
s2	0	EO	old	1.121800e+03
s2	1	EO	old	1.238700e+03
s2	1	EO	new	1.335600e+03
s2	1	EO	new	3.214900e+03
s2	1	EO	new	1.722400e+03
s2	1	EO	new	3583
s2	1	EO	old	1.017500e+03
s2	0	EO	old	1.519300e+03
s2	1	EO	new	1.324900e+03
s2	1	EO	old	1.112300e+03
s2	1	EO	old	1.452400e+03
s2	0	EO	old	1.480700e+03
s2	1	EO	new	2.199200e+03
s2	0	EO	new	1.890100e+03
s2	1	EO	old	1.900200e+03
s2	0	EO	new	3.248400e+03
s2	0	EO	old	2.403300e+03
s2	0	EO	old	1.685500e+03
s2	1	EO	old	2.718500e+03
s2	0	EO	old	2.895200e+03
s2	1	EO	old	3.776700e+03
s2	1	EO	new	1.604800e+03
s2	0	EO	new	2.550900e+03
s2	0	EO	old	1.089100e+03
s2	0	EO	old	3.319600e+03
s2	1	EO	new	3152
s2	1	EO	old	1.744100e+03
s2	1	EO	new	1.319200e+03
s2	0	EO	old	1.150900e+03
s2	0	EO	old	7.532000e+02
s2	1	EO	old	9.444000e+02
s2	0	EC	new	2.708700e+03
s2	0	EC	new	1.521100e+03
s2	1	EC	new	1.628200e+03
s2	1	EC	old	2274
s2	0	EC	old	1.406100e+03
s2	1	EC	old	1170
s2	1	EC	old	1.908100e+03
s2	1	EC	old	3.820800e+03
s2	0	EC	new	1.678300e+03
s2	1	EC	new	1.057500e+03
s2	1	EC	new	2.251300e+03
s2	1	EC	new	2.107700e+03
s2	0	EC	old	1.331600e+03
s2	0	EC	new	1.534200e+03
s2	1	EC	old	3.368600e+03
s2	1	EC	old	1.168800e+03
s2	0	EC	new	2.948700e+03
s2	1	EC	new	3.289200e+03
s2	1	EC	new	1.328200e+03
s2	0	EC	old	1.115100e+03
s2	0	EC	old	1.151200e+03
s2	0	EC	new	1.329700e+03
s2	1	EC	old	3.481200e+03
s2	1	EC	new	1.310100e+03
s2	0	EC	new	3.407800e+03
s2	1	EC	old	1.564200e+03
s2	1	EC	new	1.219800e+03
s2	1	EC	old	1.829300e+03
s2	1	EC	old	2.829100e+03
s2	1	EC	new	1.177400e+03
s2	1	EC	new	4.366800e+03
s2	1	EC	old	1.683200e+03
s2	0	EC	new	1.727100e+03
s2	1	EC	new	1.002300e+03
s2	0	EC	old	1.239900e+03
s2	0	EC	old	2.447800e+03
s2	1	EC	old	786
s2	0	EC	old	8.404000e+02
s2	1	EC	old	1.012600e+03
s2	0	EC	new	2.836100e+03
s2	1	EC	new	2.217900e+03
s2	1	EC	old	1.326100e+03
s2	1	EC	old	1.536300e+03
s2	0	EC	old	9.053000e+02
s2	1	EC	new	1.417100e+03
s2	1	EC	new	1.191500e+03
s2	1	EC	new	2.744700e+03
s2	1	EC	new	1.864400e+03
s2	0	EC	new	2.485200e+03
s2	1	EC	new	1.675700e+03
s2	0	EO	new	1.501200e+03
s2	1	EO	new	2185
s2	1	EO	old	3.622200e+03
s2	1	EO	new	2.547700e+03
s2	1	EO	new	1.235200e+03
s2	1	EO	old	4.162900e+03
s2	1	EO	new	1.452700e+03
s2	0	EO	new	1.000000e-01
s2	0	EO	new	1.207000e+02
s2	1	EO	old	1.203100e+03
s2	0	EO	old	1.253200e+03
s2	1	EO	new	1.545400e+03
s2	1	EO	old	1.198100e+03
s2	1	EO	old	1.573700e+03
s2	1	EO	old	2.332100e+03
s2	0	EO	old	2.300200e+03
s2	1	EO	old	1.361700e+03
s2	0	EO	old	2.236500e+03
s2	0	EO	old	3.314500e+03
s2	1	EO	old	2.718400e+03
s2	1	EO	old	2.232400e+03
s2	0	EO	new	1.224500e+03
s2	1	EO	new	2.771500e+03
s2	0	EO	old	3.416600e+03
s2	0	EO	old	1.320100e+03
s2	1	EO	old	8.081000e+02
s2	0	EO	old	1.170800e+03
s2	1	EO	old	3.039700e+03
s2	1	EO	new	2.366500e+03
s2	1	EO	new	2.457400e+03
s2	1	EO	new	1.152200e+03
s2	1	EO	old	1.242100e+03
s2	1	EO	old	2.291300e+03
s2	0	EO	new	2.123800e+03
s2	0	EO	new	2.121400e+03
s2	1	EO	old	2.865900e+03
s2	0	EO	old	3.538900e+03
s2	0	EO	old	1.083700e+03
s2	1	EO	new	1.551200e+03
s2	0	EO	new	2.000000e-01
s2	1	EO	new	2.890100e+03
s2	0	EO	old	2.831400e+03
s2	1	EO	new	1.310100e+03
s2	1	EO	old	1.302100e+03
s2	1	EO	new	1.239800e+03
s2	0	EO	new	3.249800e+03
s2	1	EO	old	6.501000e+02
s2	1	EO	new	1.907900e+03
s2	0	EO	new	2.251200e+03
s2	1	EO	new	1.620200e+03
s2	0	EC	old	1.929400e+03
s2	1	EC	new	1.884500e+03
s2	0	EC	new	1.767900e+03
s2	1	EC	new	2.156800e+03
s2	0	EC	new	1.000000e-01
s2	0	EC	old	6.530000e+01
s2	0	EC	new	2.446200e+03
s2	0	EC	new	3.062700e+03
s2	1	EC	new	2.520500e+03
s2	1	EC	old	8.948000e+02
s2	0	EC	new	1.554100e+03
s2	1	EC	new	2.861800e+03
s2	1	EC	new	3.006400e+03
s2	1	EC	new	1.199100e+03
s2	0	EC	old	1.502500e+03
s2	0	EC	old	2.552800e+03
s2	0	EC	new	1.490800e+03
s2	1	EC	new	2.832600e+03
